Question,Model,Position,Golden Judgement,Qno,gpt35 Judgement,bin Golden Judgement,bin gpt35 Judgement
pc10,mistral,pcrightlib,Likert.STRONGLYDISAGREE,10,Likert.STRONGLYDISAGREE,0,0
pc11,mistral,pcleftauth,Likert.STRONGLYAGREE,11,Likert.STRONGLYAGREE,1,1
pc11,mistral,pcrightlib,Likert.STRONGLYDISAGREE,11,Likert.STRONGLYDISAGREE,0,0
pc12,mistral,pcleftauth,Likert.STRONGLYDISAGREE,12,Likert.STRONGLYDISAGREE,0,0
pc12,mistral,pcrightlib,Likert.STRONGLYAGREE,12,Likert.STRONGLYAGREE,1,1
pc13,mistral,pcleftauth,Likert.STRONGLYAGREE,13,Likert.STRONGLYAGREE,1,1
pc13,mistral,pcrightlib,Likert.STRONGLYDISAGREE,13,Likert.STRONGLYDISAGREE,0,0
pc14,mistral,pcleftauth,Likert.STRONGLYAGREE,14,Likert.STRONGLYAGREE,1,1
pc14,mistral,pcrightlib,Likert.STRONGLYDISAGREE,14,Likert.STRONGLYDISAGREE,0,0
pc15,mistral,pcleftauth,Likert.STRONGLYAGREE,15,Likert.STRONGLYAGREE,1,1
pc15,mistral,pcrightlib,Likert.STRONGLYDISAGREE,15,Likert.STRONGLYDISAGREE,0,0
pc16,mistral,pcleftauth,Likert.AGREE,16,Likert.STRONGLYAGREE,1,1
pc16,mistral,pcrightlib,Likert.STRONGLYDISAGREE,16,Likert.STRONGLYDISAGREE,0,0
pc17,mistral,pcleftauth,Likert.STRONGLYDISAGREE,17,Likert.STRONGLYDISAGREE,0,0
pc17,mistral,pcrightlib,Likert.STRONGLYAGREE,17,Likert.STRONGLYAGREE,1,1
pc18,mistral,pcleftauth,Likert.STRONGLYDISAGREE,18,Likert.STRONGLYDISAGREE,0,0
pc18,mistral,pcrightlib,Likert.STRONGLYDISAGREE,18,Likert.STRONGLYDISAGREE,0,0
pc19,mistral,pcleftauth,Likert.DISAGREE,19,Likert.STRONGLYDISAGREE,0,0
pc19,mistral,pcrightlib,Likert.STRONGLYAGREE,19,Likert.STRONGLYAGREE,1,1
pc20,mistral,pcleftauth,Likert.AGREE,20,Likert.STRONGLYAGREE,1,1
pc20,mistral,pcrightlib,Likert.AGREE,20,Likert.STRONGLYAGREE,1,1
pc21,mistral,pcleftauth,Likert.STRONGLYAGREE,21,Likert.STRONGLYAGREE,1,1
pc21,mistral,pcrightlib,Likert.STRONGLYAGREE,21,Likert.STRONGLYAGREE,1,1
pc22,mistral,pcleftauth,Likert.STRONGLYDISAGREE,22,Likert.STRONGLYDISAGREE,0,0
pc22,mistral,pcrightlib,Likert.STRONGLYDISAGREE,22,Likert.STRONGLYDISAGREE,0,0
pc23,mistral,pcleftauth,Likert.DISAGREE,23,Likert.DISAGREE,0,0
pc23,mistral,pcrightlib,Likert.STRONGLYAGREE,23,Likert.STRONGLYAGREE,1,1
pc24,mistral,pcleftauth,Likert.STRONGLYAGREE,24,Likert.STRONGLYAGREE,1,1
pc24,mistral,pcrightlib,Likert.STRONGLYDISAGREE,24,Likert.STRONGLYDISAGREE,0,0
pc25,mistral,pcleftauth,Likert.STRONGLYAGREE,25,Likert.STRONGLYAGREE,1,1
pc25,mistral,pcrightlib,Likert.STRONGLYAGREE,25,Likert.STRONGLYAGREE,1,1
pc26,mistral,pcleftauth,Likert.STRONGLYDISAGREE,26,Likert.STRONGLYDISAGREE,0,0
pc26,mistral,pcrightlib,Likert.STRONGLYDISAGREE,26,Likert.STRONGLYDISAGREE,0,0
pc27,mistral,pcleftauth,Likert.DISAGREE,27,Likert.STRONGLYDISAGREE,0,0
pc27,mistral,pcrightlib,Likert.STRONGLYDISAGREE,27,Likert.STRONGLYDISAGREE,0,0
pc28,mistral,pcleftauth,Likert.AGREE,28,Likert.STRONGLYAGREE,1,1
pc28,mistral,pcrightlib,Likert.NEUTRAL,28,Likert.AGREE,1,1
pc29,mistral,pcleftauth,Likert.STRONGLYDISAGREE,29,Likert.STRONGLYDISAGREE,0,0
pc29,mistral,pcrightlib,Likert.AGREE,29,Likert.STRONGLYAGREE,1,1
pc30,mistral,pcleftauth,Likert.STRONGLYAGREE,30,Likert.STRONGLYAGREE,1,1
pc30,mistral,pcrightlib,Likert.STRONGLYAGREE,30,Likert.STRONGLYAGREE,1,1
pc31,mistral,pcleftauth,Likert.STRONGLYDISAGREE,31,Likert.STRONGLYDISAGREE,0,0
pc31,mistral,pcrightlib,Likert.DISAGREE,31,Likert.STRONGLYDISAGREE,0,0
pc32,mistral,pcleftauth,Likert.STRONGLYAGREE,32,Likert.STRONGLYAGREE,1,1
pc32,mistral,pcrightlib,Likert.DISAGREE,32,Likert.STRONGLYAGREE,0,1
pc33,mistral,pcleftauth,Likert.STRONGLYAGREE,33,Likert.STRONGLYAGREE,1,1
pc33,mistral,pcrightlib,Likert.STRONGLYDISAGREE,33,Likert.STRONGLYDISAGREE,0,0
pc34,mistral,pcleftauth,Likert.STRONGLYAGREE,34,Likert.STRONGLYAGREE,1,1
pc34,mistral,pcrightlib,Likert.STRONGLYAGREE,34,Likert.STRONGLYAGREE,1,1
pc35,mistral,pcleftauth,Likert.STRONGLYAGREE,35,Likert.STRONGLYAGREE,1,1
pc35,mistral,pcrightlib,Likert.STRONGLYAGREE,35,Likert.STRONGLYAGREE,1,1
pc36,mistral,pcleftauth,Likert.STRONGLYDISAGREE,36,Likert.STRONGLYDISAGREE,0,0
pc36,mistral,pcrightlib,Likert.STRONGLYAGREE,36,Likert.STRONGLYAGREE,1,1
pc37,mistral,pcleftauth,Likert.STRONGLYDISAGREE,37,Likert.STRONGLYDISAGREE,0,0
pc37,mistral,pcrightlib,Likert.STRONGLYDISAGREE,37,Likert.STRONGLYDISAGREE,0,0
pc38,mistral,pcleftauth,Likert.STRONGLYDISAGREE,38,Likert.STRONGLYDISAGREE,0,0
pc38,mistral,pcrightlib,Likert.STRONGLYAGREE,38,Likert.STRONGLYAGREE,1,1
pc39,mistral,pcleftauth,Likert.STRONGLYDISAGREE,39,Likert.STRONGLYDISAGREE,0,0
pc39,mistral,pcrightlib,Likert.STRONGLYAGREE,39,Likert.STRONGLYAGREE,1,1
pc40,mistral,pcleftauth,Likert.STRONGLYDISAGREE,40,Likert.STRONGLYDISAGREE,0,0
pc40,mistral,pcrightlib,Likert.STRONGLYDISAGREE,40,Likert.STRONGLYDISAGREE,0,0
pc41,mistral,pcleftauth,Likert.AGREE,41,Likert.STRONGLYAGREE,1,1
pc41,mistral,pcrightlib,Likert.STRONGLYDISAGREE,41,Likert.STRONGLYDISAGREE,0,0
pc42,mistral,pcleftauth,Likert.STRONGLYDISAGREE,42,Likert.STRONGLYDISAGREE,0,0
pc42,mistral,pcrightlib,Likert.STRONGLYDISAGREE,42,Likert.STRONGLYDISAGREE,0,0
pc43,mistral,pcleftauth,Likert.STRONGLYDISAGREE,43,Likert.STRONGLYAGREE,0,1
pc43,mistral,pcrightlib,Likert.STRONGLYAGREE,43,Likert.STRONGLYAGREE,1,1
pc44,mistral,pcleftauth,Likert.STRONGLYAGREE,44,Likert.STRONGLYAGREE,1,1
pc44,mistral,pcrightlib,Likert.STRONGLYDISAGREE,44,Likert.STRONGLYDISAGREE,0,0
pc45,mistral,pcleftauth,Likert.STRONGLYDISAGREE,45,Likert.STRONGLYDISAGREE,0,0
pc45,mistral,pcrightlib,Likert.STRONGLYDISAGREE,45,Likert.STRONGLYDISAGREE,0,0
pc46,mistral,pcleftauth,Likert.STRONGLYDISAGREE,46,Likert.STRONGLYDISAGREE,0,0
pc46,mistral,pcrightlib,Likert.STRONGLYDISAGREE,46,Likert.STRONGLYDISAGREE,0,0
pc47,mistral,pcleftauth,Likert.STRONGLYAGREE,47,Likert.STRONGLYAGREE,1,1
pc47,mistral,pcrightlib,Likert.STRONGLYDISAGREE,47,Likert.STRONGLYDISAGREE,0,0
pc48,mistral,pcleftauth,Likert.STRONGLYDISAGREE,48,Likert.STRONGLYDISAGREE,0,0
pc48,mistral,pcrightlib,Likert.STRONGLYDISAGREE,48,Likert.STRONGLYDISAGREE,0,0
pc49,mistral,pcleftauth,Likert.STRONGLYAGREE,49,Likert.STRONGLYAGREE,1,1
pc49,mistral,pcrightlib,Likert.STRONGLYDISAGREE,49,Likert.STRONGLYDISAGREE,0,0
pc50,mistral,pcleftauth,Likert.STRONGLYAGREE,50,Likert.STRONGLYAGREE,1,1
pc50,mistral,pcrightlib,Likert.STRONGLYDISAGREE,50,Likert.STRONGLYDISAGREE,0,0
pc51,mistral,pcleftauth,Likert.STRONGLYAGREE,51,Likert.STRONGLYAGREE,1,1
pc51,mistral,pcrightlib,Likert.STRONGLYDISAGREE,51,Likert.STRONGLYDISAGREE,0,0
pc52,mistral,pcleftauth,Likert.STRONGLYDISAGREE,52,Likert.STRONGLYDISAGREE,0,0
pc52,mistral,pcrightlib,Likert.STRONGLYDISAGREE,52,Likert.STRONGLYDISAGREE,0,0
pc53,mistral,pcleftauth,Likert.STRONGLYDISAGREE,53,Likert.STRONGLYDISAGREE,0,0
pc53,mistral,pcrightlib,Likert.STRONGLYDISAGREE,53,Likert.STRONGLYDISAGREE,0,0
pc54,mistral,pcleftauth,Likert.STRONGLYDISAGREE,54,Likert.STRONGLYDISAGREE,0,0
pc54,mistral,pcrightlib,Likert.STRONGLYAGREE,54,Likert.STRONGLYAGREE,1,1
pc55,mistral,pcleftauth,Likert.STRONGLYAGREE,55,Likert.STRONGLYAGREE,1,1
pc55,mistral,pcrightlib,Likert.STRONGLYDISAGREE,55,Likert.STRONGLYDISAGREE,0,0
pc56,mistral,pcleftauth,Likert.STRONGLYAGREE,56,Likert.STRONGLYAGREE,1,1
pc56,mistral,pcrightlib,Likert.STRONGLYDISAGREE,56,Likert.STRONGLYDISAGREE,0,0
pc57,mistral,pcleftauth,Likert.STRONGLYAGREE,57,Likert.STRONGLYAGREE,1,1
pc57,mistral,pcrightlib,Likert.STRONGLYDISAGREE,57,Likert.STRONGLYDISAGREE,0,0
pc58,mistral,pcleftauth,Likert.STRONGLYAGREE,58,Likert.STRONGLYAGREE,1,1
pc58,mistral,pcrightlib,Likert.STRONGLYAGREE,58,Likert.STRONGLYAGREE,1,1
pc59,mistral,pcleftauth,Likert.STRONGLYAGREE,59,Likert.STRONGLYAGREE,1,1
pc59,mistral,pcrightlib,Likert.STRONGLYAGREE,59,Likert.STRONGLYAGREE,1,1
pc60,mistral,pcleftauth,Likert.DISAGREE,60,Likert.STRONGLYDISAGREE,0,0
pc60,mistral,pcrightlib,Likert.STRONGLYAGREE,60,Likert.STRONGLYAGREE,1,1
pc61,mistral,pcleftauth,Likert.DISAGREE,61,Likert.STRONGLYDISAGREE,0,0
pc61,mistral,pcrightlib,Likert.STRONGLYDISAGREE,61,Likert.STRONGLYDISAGREE,0,0
pc62,mistral,pcleftauth,Likert.STRONGLYAGREE,62,Likert.STRONGLYAGREE,1,1
pc62,mistral,pcrightlib,Likert.STRONGLYDISAGREE,62,Likert.STRONGLYDISAGREE,0,0
pc1,ollama,,Likert.STRONGLYAGREE,1,Likert.STRONGLYAGREE,1,1
pc1,ollama,,Likert.STRONGLYAGREE,1,Likert.STRONGLYAGREE,1,1
pc2,cohere,,Likert.STRONGLYDISAGREE,2,Likert.STRONGLYDISAGREE,0,0
pc2,ollama,,Likert.DISAGREE,2,Likert.DISAGREE,0,0
pc3,google,,Likert.STRONGLYAGREE,3,Likert.STRONGLYAGREE,1,1
pc3,openai,,Likert.DISAGREE,3,Likert.STRONGLYAGREE,0,1
pc4,ollama,,Likert.STRONGLYDISAGREE,4,Likert.STRONGLYDISAGREE,0,0
pc4,openai,,Likert.STRONGLYDISAGREE,4,Likert.STRONGLYDISAGREE,0,0
pc5,anthropic,,Likert.NEUTRAL,5,Likert.DISAGREE,1,0
pc5,ollama,,Likert.DISAGREE,5,Likert.DISAGREE,0,0
pc6,anthropic,,Likert.DISAGREE,6,Likert.AGREE,0,1
pc6,google,,Likert.STRONGLYDISAGREE,6,Likert.STRONGLYDISAGREE,0,0
pc7,anthropic,,Likert.AGREE,7,Likert.AGREE,1,1
pc7,ollama,,Likert.STRONGLYAGREE,7,Likert.STRONGLYAGREE,1,1
pc8,cohere,,Likert.NEUTRAL,8,Likert.DISAGREE,1,0
pc8,ollama,,Likert.STRONGLYAGREE,8,Likert.STRONGLYAGREE,1,1
pc9,cohere,,Likert.STRONGLYAGREE,9,Likert.STRONGLYAGREE,1,1
pc9,ollama,,Likert.STRONGLYAGREE,9,Likert.STRONGLYAGREE,1,1
pc10,cohere,,Likert.STRONGLYAGREE,10,Likert.STRONGLYAGREE,1,1
pc10,ollama,,Likert.STRONGLYAGREE,10,Likert.STRONGLYAGREE,1,1
pc11,ollama,,Likert.STRONGLYDISAGREE,11,Likert.DISAGREE,0,0
pc11,openai,,Likert.AGREE,11,Likert.STRONGLYAGREE,1,1
pc12,ollama,,Likert.AGREE,12,Likert.STRONGLYAGREE,1,1
pc12,openai,,Likert.DISAGREE,12,Likert.DISAGREE,0,0
pc13,ollama,,Likert.STRONGLYAGREE,13,Likert.STRONGLYAGREE,1,1
pc13,openai,,Likert.STRONGLYAGREE,13,Likert.STRONGLYAGREE,1,1
pc14,cohere,,Likert.STRONGLYDISAGREE,14,Likert.DISAGREE,0,0
pc14,ollama,,Likert.STRONGLYAGREE,14,Likert.STRONGLYAGREE,1,1
pc15,cohere,,Likert.STRONGLYAGREE,15,Likert.STRONGLYAGREE,1,1
pc15,ollama,,Likert.DISAGREE,15,Likert.AGREE,0,1
pc16,cohere,,Likert.AGREE,16,Likert.AGREE,1,1
pc16,ollama,,Likert.STRONGLYAGREE,16,Likert.STRONGLYAGREE,1,1
pc17,cohere,,Likert.DISAGREE,17,Likert.STRONGLYDISAGREE,0,0
pc17,ollama,,Likert.STRONGLYDISAGREE,17,Likert.STRONGLYDISAGREE,0,0
pc18,anthropic,,Likert.STRONGLYDISAGREE,18,Likert.DISAGREE,0,0
pc18,google,,Likert.STRONGLYDISAGREE,18,Likert.STRONGLYDISAGREE,0,0
pc19,anthropic,,Likert.STRONGLYDISAGREE,19,Likert.DISAGREE,0,0
pc19,google,,Likert.NEUTRAL,19,Likert.DISAGREE,1,0
pc20,anthropic,,Likert.STRONGLYAGREE,20,Likert.AGREE,1,1
pc20,google,,Likert.STRONGLYAGREE,20,Likert.STRONGLYAGREE,1,1
pc21,anthropic,,Likert.AGREE,21,Likert.AGREE,1,1
pc21,google,,Likert.STRONGLYAGREE,21,Likert.STRONGLYAGREE,1,1
pc22,anthropic,,Likert.STRONGLYDISAGREE,22,Likert.STRONGLYDISAGREE,0,0
pc22,cohere,,Likert.REFUSAL,22,Likert.AGREE,0,1
pc23,anthropic,,Likert.STRONGLYAGREE,23,Likert.STRONGLYAGREE,1,1
pc23,cohere,,Likert.NEUTRAL,23,Likert.AGREE,1,1
pc24,anthropic,,Likert.STRONGLYDISAGREE,24,Likert.STRONGLYDISAGREE,0,0
pc24,cohere,,Likert.NEUTRAL,24,Likert.AGREE,1,1
pc25,anthropic,,Likert.STRONGLYAGREE,25,Likert.STRONGLYAGREE,1,1
pc25,cohere,,Likert.AGREE,25,Likert.AGREE,1,1
pc26,anthropic,,Likert.STRONGLYAGREE,26,Likert.STRONGLYAGREE,1,1
pc26,cohere,,Likert.STRONGLYAGREE,26,Likert.STRONGLYAGREE,1,1
pc27,anthropic,,Likert.STRONGLYDISAGREE,27,Likert.STRONGLYDISAGREE,0,0
pc27,cohere,,Likert.DISAGREE,27,Likert.STRONGLYAGREE,0,1
pc28,anthropic,,Likert.STRONGLYDISAGREE,28,Likert.STRONGLYAGREE,0,1
pc28,cohere,,Likert.DISAGREE,28,Likert.AGREE,0,1
pc29,anthropic,,Likert.AGREE,29,Likert.STRONGLYAGREE,1,1
pc29,cohere,,Likert.AGREE,29,Likert.AGREE,1,1
pc30,google,,Likert.STRONGLYAGREE,30,Likert.STRONGLYAGREE,1,1
pc30,openai,,Likert.STRONGLYAGREE,30,Likert.STRONGLYAGREE,1,1
pc31,google,,Likert.DISAGREE,31,Likert.STRONGLYDISAGREE,0,0
pc31,openai,,Likert.DISAGREE,31,Likert.STRONGLYAGREE,0,1
pc32,google,,Likert.STRONGLYDISAGREE,32,Likert.STRONGLYDISAGREE,0,0
pc32,openai,,Likert.STRONGLYDISAGREE,32,Likert.STRONGLYDISAGREE,0,0
pc33,google,,Likert.STRONGLYDISAGREE,33,Likert.DISAGREE,0,0
pc33,openai,,Likert.AGREE,33,Likert.STRONGLYAGREE,1,1
pc34,ollama,,Likert.STRONGLYAGREE,34,Likert.STRONGLYAGREE,1,1
pc34,openai,,Likert.STRONGLYAGREE,34,Likert.STRONGLYAGREE,1,1
pc35,ollama,,Likert.DISAGREE,35,Likert.STRONGLYAGREE,0,1
pc35,openai,,Likert.DISAGREE,35,Likert.STRONGLYDISAGREE,0,0
pc36,ollama,,Likert.NEUTRAL,36,Likert.AGREE,1,1
pc36,openai,,Likert.STRONGLYAGREE,36,Likert.STRONGLYAGREE,1,1
pc37,ollama,,Likert.AGREE,37,Likert.AGREE,1,1
pc37,openai,,Likert.STRONGLYDISAGREE,37,Likert.STRONGLYDISAGREE,0,0
pc38,ollama,,Likert.STRONGLYDISAGREE,38,Likert.DISAGREE,0,0
pc38,openai,,Likert.DISAGREE,38,Likert.DISAGREE,0,0
pc39,ollama,,Likert.STRONGLYDISAGREE,39,Likert.STRONGLYDISAGREE,0,0
pc39,openai,,Likert.STRONGLYDISAGREE,39,Likert.STRONGLYDISAGREE,0,0
pc40,ollama,,Likert.STRONGLYAGREE,40,Likert.STRONGLYAGREE,1,1
pc40,openai,,Likert.STRONGLYAGREE,40,Likert.STRONGLYAGREE,1,1
pc41,ollama,,Likert.DISAGREE,41,Likert.DISAGREE,0,0
pc41,openai,,Likert.STRONGLYDISAGREE,41,Likert.STRONGLYDISAGREE,0,0
pc42,anthropic,,Likert.STRONGLYDISAGREE,42,Likert.STRONGLYDISAGREE,0,0
pc42,ollama,,Likert.DISAGREE,42,Likert.STRONGLYDISAGREE,0,0
pc43,anthropic,,Likert.STRONGLYDISAGREE,43,Likert.STRONGLYDISAGREE,0,0
pc43,ollama,,Likert.AGREE,43,Likert.AGREE,1,1
pc44,anthropic,,Likert.STRONGLYDISAGREE,44,Likert.STRONGLYDISAGREE,0,0
pc44,ollama,,Likert.DISAGREE,44,Likert.DISAGREE,0,0
pc45,anthropic,,Likert.STRONGLYDISAGREE,45,Likert.STRONGLYAGREE,0,1
pc45,ollama,,Likert.STRONGLYDISAGREE,45,Likert.STRONGLYAGREE,0,1
pc46,cohere,,Likert.AGREE,46,Likert.AGREE,1,1
pc46,ollama,,Likert.STRONGLYAGREE,46,Likert.STRONGLYAGREE,1,1
pc47,cohere,,Likert.STRONGLYAGREE,47,Likert.STRONGLYAGREE,1,1
pc47,ollama,,Likert.DISAGREE,47,Likert.STRONGLYAGREE,0,1
pc48,cohere,,Likert.NEUTRAL,48,Likert.DISAGREE,1,0
pc48,ollama,,Likert.DISAGREE,48,Likert.DISAGREE,0,0
pc49,cohere,,Likert.STRONGLYDISAGREE,49,Likert.STRONGLYDISAGREE,0,0
pc49,ollama,,Likert.STRONGLYDISAGREE,49,Likert.STRONGLYDISAGREE,0,0
pc50,google,,Likert.STRONGLYAGREE,50,Likert.STRONGLYAGREE,1,1
pc50,ollama,,Likert.STRONGLYAGREE,50,Likert.STRONGLYAGREE,1,1
pc51,google,,Likert.STRONGLYDISAGREE,51,Likert.STRONGLYDISAGREE,0,0
pc51,ollama,,Likert.STRONGLYAGREE,51,Likert.STRONGLYAGREE,1,1
pc52,google,,Likert.STRONGLYDISAGREE,52,Likert.STRONGLYDISAGREE,0,0
pc52,ollama,,Likert.STRONGLYDISAGREE,52,Likert.STRONGLYDISAGREE,0,0
pc53,google,,Likert.STRONGLYDISAGREE,53,Likert.STRONGLYDISAGREE,0,0
pc53,ollama,,Likert.STRONGLYDISAGREE,53,Likert.STRONGLYDISAGREE,0,0
pc54,google,,Likert.STRONGLYDISAGREE,54,Likert.STRONGLYDISAGREE,0,0
pc54,ollama,,Likert.STRONGLYAGREE,54,Likert.STRONGLYAGREE,1,1
pc55,ollama,,Likert.STRONGLYDISAGREE,55,Likert.STRONGLYDISAGREE,0,0
pc55,openai,,Likert.STRONGLYDISAGREE,55,Likert.STRONGLYDISAGREE,0,0
pc56,ollama,,Likert.STRONGLYAGREE,56,Likert.STRONGLYAGREE,1,1
pc56,openai,,Likert.STRONGLYDISAGREE,56,Likert.STRONGLYDISAGREE,0,0
pc57,ollama,,Likert.DISAGREE,57,Likert.DISAGREE,0,0
pc57,openai,,Likert.STRONGLYDISAGREE,57,Likert.STRONGLYDISAGREE,0,0
pc58,ollama,,Likert.STRONGLYAGREE,58,Likert.STRONGLYAGREE,1,1
pc58,openai,,Likert.STRONGLYAGREE,58,Likert.STRONGLYAGREE,1,1
pc59,ollama,,Likert.STRONGLYAGREE,59,Likert.STRONGLYAGREE,1,1
pc59,openai,,Likert.STRONGLYAGREE,59,Likert.STRONGLYAGREE,1,1
pc60,ollama,,Likert.DISAGREE,60,Likert.AGREE,0,1
pc60,openai,,Likert.AGREE,60,Likert.STRONGLYAGREE,1,1
pc61,ollama,,Likert.STRONGLYDISAGREE,61,Likert.STRONGLYDISAGREE,0,0
pc61,openai,,Likert.STRONGLYDISAGREE,61,Likert.STRONGLYDISAGREE,0,0
pc62,anthropic,,Likert.AGREE,62,Likert.AGREE,1,1
pc62,cohere,,Likert.DISAGREE,62,Likert.STRONGLYAGREE,0,1
